61 | loss 8.3125 | lr 1.000000e-03 | 1872.25ms
62 | loss 8.2500 | lr 1.000000e-03 | 1876.05ms
63 | loss 7.9375 | lr 1.000000e-03 | 1876.56ms
64 | loss 8.0625 | lr 1.000000e-03 | 1873.61ms
65 | loss 8.1250 | lr 1.000000e-03 | 1880.22ms
66 | loss 8.1875 | lr 1.000000e-03 | 1873.50ms
67 | loss 8.1250 | lr 1.000000e-03 | 1877.44ms
68 | loss 8.3125 | lr 1.000000e-03 | 1876.35ms
69 | loss 7.9688 | lr 1.000000e-03 | 1878.12ms
70 | loss 7.9375 | lr 1.000000e-03 | 1870.74ms
71 | loss 8.5625 | lr 1.000000e-03 | 1874.91ms
72 | loss 8.2500 | lr 1.000000e-03 | 1878.62ms
73 | loss 7.9375 | lr 1.000000e-03 | 1872.45ms
74 | loss 8.2500 | lr 1.000000e-03 | 1879.64ms
75 | loss 8.0625 | lr 1.000000e-03 | 1881.99ms
76 | loss 8.3125 | lr 1.000000e-03 | 1878.78ms
77 | loss 8.0625 | lr 1.000000e-03 | 1881.52ms
78 | loss 8.1250 | lr 1.000000e-03 | 1879.38ms
79 | loss 7.8750 | lr 1.000000e-03 | 1880.54ms
80 | loss 8.1250 | lr 1.000000e-03 | 1879.60ms
81 | loss 8.0625 | lr 1.000000e-03 | 1880.38ms
82 | loss 7.8750 | lr 1.000000e-03 | 1878.52ms
83 | loss 7.5312 | lr 1.000000e-03 | 1880.65ms
84 | loss 8.7500 | lr 1.000000e-03 | 1883.20ms
85 | loss 8.0625 | lr 1.000000e-03 | 1881.26ms
86 | loss 8.0000 | lr 1.000000e-03 | 1881.09ms
87 | loss 8.0000 | lr 1.000000e-03 | 1883.83ms
88 | loss 7.7812 | lr 1.000000e-03 | 1881.16ms
89 | loss 8.5000 | lr 1.000000e-03 | 1882.13ms
90 | loss 7.8438 | lr 1.000000e-03 | 1889.20ms
91 | loss 8.0625 | lr 1.000000e-03 | 1879.74ms
92 | loss 7.7812 | lr 1.000000e-03 | 1885.86ms
93 | loss 8.0000 | lr 1.000000e-03 | 1881.66ms
94 | loss 7.7500 | lr 1.000000e-03 | 1880.17ms
95 | loss 8.0000 | lr 1.000000e-03 | 1888.33ms
96 | loss 7.7188 | lr 1.000000e-03 | 1880.61ms
97 | loss 7.6875 | lr 1.000000e-03 | 1885.11ms
98 | loss 7.9375 | lr 1.000000e-03 | 1883.23ms
99 | loss 8.4375 | lr 1.000000e-03 | 1890.49ms
100 | loss 8.0000 | lr 1.000000e-03 | 1887.94ms
101 | loss 8.0000 | lr 1.000000e-03 | 1896.47ms
102 | loss 7.8125 | lr 1.000000e-03 | 1895.61ms
103 | loss 7.9062 | lr 1.000000e-03 | 1893.04ms
104 | loss 7.8750 | lr 1.000000e-03 | 1892.05ms
105 | loss 7.7500 | lr 1.000000e-03 | 1897.32ms
106 | loss 7.8750 | lr 1.000000e-03 | 1887.77ms
107 | loss 7.4688 | lr 1.000000e-03 | 1898.35ms
108 | loss 8.1875 | lr 1.000000e-03 | 1902.23ms
109 | loss 7.7500 | lr 1.000000e-03 | 1900.93ms
110 | loss 8.0000 | lr 1.000000e-03 | 1899.66ms
111 | loss 7.9375 | lr 1.000000e-03 | 1898.75ms
112 | loss 7.7812 | lr 1.000000e-03 | 1900.30ms
113 | loss 7.5000 | lr 1.000000e-03 | 1901.04ms
114 | loss 7.8750 | lr 1.000000e-03 | 1903.39ms
115 | loss 7.8750 | lr 1.000000e-03 | 1897.13ms
116 | loss 7.5000 | lr 1.000000e-03 | 1906.16ms
117 | loss 7.8125 | lr 1.000000e-03 | 1907.79ms
118 | loss 7.6875 | lr 1.000000e-03 | 1894.46ms
119 | loss 7.7812 | lr 1.000000e-03 | 1902.90ms
120 | loss 7.7188 | lr 1.000000e-03 | 1899.65ms
121 | loss 7.6875 | lr 1.000000e-03 | 1900.65ms
122 | loss 7.9062 | lr 1.000000e-03 | 1905.87ms
123 | loss 7.6875 | lr 1.000000e-03 | 1905.31ms
124 | loss 7.6250 | lr 1.000000e-03 | 1894.36ms
125 | loss 7.6875 | lr 1.000000e-03 | 1902.02ms
126 | loss 7.6562 | lr 1.000000e-03 | 1901.83ms
127 | loss 7.3438 | lr 1.000000e-03 | 1896.45ms
128 | loss 7.3438 | lr 1.000000e-03 | 1906.63ms
129 | loss 7.9375 | lr 1.000000e-03 | 1903.57ms
130 | loss 7.5000 | lr 1.000000e-03 | 1895.81ms
131 | loss 7.3438 | lr 1.000000e-03 | 1936.43ms
132 | loss 7.3125 | lr 1.000000e-03 | 1902.26ms
133 | loss 7.2812 | lr 1.000000e-03 | 1899.90ms
134 | loss 7.5000 | lr 1.000000e-03 | 1903.70ms
